ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
4,1000000,0,32,73,0,105,105,32,73,0,105,105,105
8,1000064,50,7,121,0,128,128,32,121,0,128,128,116
25,1000128,100,177,124,0,301,301,177,124,0,301,301,178
28,1000192,150,15,144,0,159,159,177,144,0,301,301,173
35,1000256,200,7,140,0,147,147,177,144,0,301,301,168
41,1000320,250,71,108,0,179,179,177,144,0,301,301,169
48,1000384,300,7,140,0,147,147,177,144,0,301,301,166
54,1000448,350,7,140,0,147,147,177,144,0,301,301,164
61,1000512,400,7,140,0,147,147,177,144,0,301,301,162
67,1000576,450,15,136,0,151,151,177,144,0,301,301,161
73,1000640,500,7,140,0,147,147,177,144,0,301,301,159
79,1000704,550,7,140,0,147,147,177,144,0,301,301,158
86,1000768,600,7,140,0,147,147,177,144,0,301,301,157
92,1000832,650,15,136,0,151,151,177,144,0,301,301,157
98,1000896,700,7,140,0,147,147,177,144,0,301,301,156
103,1000960,750,15,136,0,151,151,177,144,0,301,301,156
109,1001024,800,7,140,0,147,147,177,144,0,301,301,155
114,1001088,850,7,140,0,147,147,177,144,0,301,301,155
121,1001152,900,7,140,0,147,147,177,144,0,301,301,154
127,1001216,950,7,140,0,147,147,177,144,0,301,301,154
134,1001280,1000,7,140,0,147,147,177,144,0,301,301,154
140,1001344,1050,7,140,0,147,147,177,144,0,301,301,153
146,1001408,1100,7,140,0,147,147,177,144,0,301,301,153
152,1001472,1150,7,140,0,147,147,177,144,0,301,301,153
158,1001536,1200,7,140,0,147,147,177,144,0,301,301,152
164,1001600,1250,7,140,0,147,147,177,144,0,301,301,152
171,1001664,1300,7,140,0,147,147,177,144,0,301,301,152
177,1001728,1350,15,115,0,130,130,177,144,0,301,301,151
183,1001792,1400,7,140,0,147,147,177,144,0,301,301,151
188,1001856,1450,7,140,0,147,147,177,144,0,301,301,151
195,1001920,1500,7,140,0,147,147,177,144,0,301,301,151
201,1001984,1550,71,107,0,178,178,177,144,0,301,301,152
208,1002048,1600,7,140,0,147,147,177,144,0,301,301,151
214,1002112,1650,15,136,0,151,151,177,144,0,301,301,151
220,1002176,1700,7,140,0,147,147,177,144,0,301,301,151
225,1002240,1750,7,140,0,147,147,177,144,0,301,301,151
232,1002304,1800,7,140,0,147,147,177,144,0,301,301,151
238,1002368,1850,7,140,0,147,147,177,144,0,301,301,151
245,1002432,1900,7,140,0,147,147,177,144,0,301,301,151
251,1002496,1950,7,140,0,147,147,177,144,0,301,301,151
